symbol,date,open,high,low,close,volume
APEUSDT,2025-10-22,0.3949,0.4018,0.3816,0.3922,11667494.15
BSWUSDT,2025-07-04,0.0132,0.0133,0.0083,0.0112,65448938.3
BIFIUSDT,2025-10-22,140.1,143.0,138.3,139.4,645.246
MULTIUSDT,2024-02-20,0.954,0.96,0.803,0.834,831726.309
STEEMUSDT,2025-10-22,0.0915,0.0925,0.0899,0.0899,3965621.9
MOBUSDT,2024-04-03,0.0706,0.0732,0.0615,0.0623,14620321.39
NEXOUSDT,2025-10-22,1.148,1.159,1.124,1.134,738414.97
REIUSDT,2025-10-22,0.01177,0.01213,0.01164,0.01174,16765996.7
GALUSDT,2024-07-15,2.541,2.6,2.495,2.542,332243.971
LDOUSDT,2025-10-22,0.9005,0.9059,0.8641,0.8677,14506693.17
EPXUSDT,2024-08-26,2.52e-05,2.86e-05,1.7e-05,1.94e-05,26841134578.0
OPUSDT,2025-10-22,0.4333,0.4384,0.4188,0.421,26590960.9
LEVERUSDT,2025-07-04,0.000208,0.000214,0.000162,0.000175,1966072655.0
STGUSDT,2025-10-22,0.1583,0.1625,0.1566,0.158,7153327.2
LUNCUSDT,2025-10-22,4.472e-05,4.85e-05,4.359e-05,4.38e-05,155711011317.73
GMXUSDT,2025-10-22,10.13,10.33,9.94,9.96,44484.121
NEBLUSDT,2023-04-18,0.403,0.415,0.352,0.355,1414670.2
POLYXUSDT,2025-10-22,0.0849,0.0863,0.0827,0.083,6719009.0
APTUSDT,2025-10-22,3.222,3.418,3.179,3.204,7633063.5
OSMOUSDT,2025-10-22,0.1162,0.1187,0.1122,0.1133,2939185.38
HFTUSDT,2025-10-22,0.0484,0.0496,0.0472,0.0479,30588098.3
PHBUSDT,2025-10-22,0.511,0.528,0.499,0.509,2289664.2
HOOKUSDT,2025-10-22,0.0656,0.0667,0.0633,0.0636,15565077.9
MAGICUSDT,2025-10-22,0.1392,0.1411,0.1287,0.1341,17506577.8
HIFIUSDT,2025-09-17,0.1222,0.1393,0.1109,0.127,17826477.1
RPLUSDT,2025-10-22,3.35,3.4,3.23,3.25,210268.73
PROSUSDT,2025-04-16,0.0521,0.061,0.035,0.0372,12584692.0
AGIXUSDT,2024-07-01,0.6169,0.6248,0.6014,0.6141,3616737.0
GNSUSDT,2025-10-22,1.384,1.435,1.366,1.386,229821.88
SYNUSDT,2025-10-22,0.0771,0.0787,0.0751,0.0756,10305158.9
VIBUSDT,2025-05-02,0.00451,0.0085,0.0018,0.00223,240384640.0
SSVUSDT,2025-10-22,5.432,5.555,5.315,5.336,300726.987
LQTYUSDT,2025-10-22,0.524,0.526,0.5,0.501,1243920.6
AMBUSDT,2025-02-24,0.00038,0.00041,0.00026,0.00032,1265288960.0
BETHUSDT,2023-10-11,1564.88,1574.49,1540.53,1556.27,158.2271
USTCUSDT,2025-10-22,0.00795,0.00843,0.00789,0.00791,170388605.0
GASUSDT,2025-10-22,2.528,2.565,2.478,2.484,150234.1
GLMUSDT,2025-10-22,0.1778,0.1801,0.1717,0.1734,3752654.1
PROMUSDT,2025-10-22,9.801,10.033,9.742,9.871,179362.98
QKCUSDT,2025-10-22,0.005267,0.00542,0.005151,0.005184,46825016.0
UFTUSDT,2025-04-16,0.0094,0.0108,0.0086,0.0089,4486909.0
IDUSDT,2025-10-22,0.1115,0.1118,0.107,0.1076,11114487.0
ARBUSDT,2025-10-22,0.3109,0.3129,0.3014,0.303,66532388.3
LOOMUSDT,2024-08-26,0.0489,0.05,0.04795,0.04831,3806345.0
OAXUSDT,2024-12-10,0.047,0.0489,0.0356,0.0358,6144089.0
RDNTUSDT,2025-10-22,0.01733,0.01764,0.01653,0.01676,73755377.0
WBTCUSDT,2025-10-22,108311.64,109097.28,106636.83,107766.46,77.14455
EDUUSDT,2025-10-22,0.175,0.195,0.1734,0.1867,40478561.0
SUIUSDT,2025-10-22,2.4888,2.5011,2.3474,2.4186,47525000.5
AERGOUSDT,2025-03-28,0.065,0.066,0.0621,0.0635,1380289.0
PEPEUSDT,2025-10-22,6.91e-06,6.97e-06,6.66e-06,6.72e-06,7951229320244.0
FLOKIUSDT,2025-10-22,7.349e-05,7.43e-05,7.052e-05,7.085e-05,264221059765.0
